prompt_text,category
Write a pitch deck idea for career growth,Business
Write a short story on digital marketing,Creative
Guide me about web development,Personal
Explain interview preparation in 5 bullet points,Summarization
Convert database indexing into English,Translation
Create a dialogue about blockchain technology,Creative
Explain mental health with examples,Academic
Explain time management in 5 bullet points,Summarization
Write a creative paragraph about software testing,Creative
Write a pitch deck idea for startup ideas,Business
Summarize this text related to mental health,Summarization
Convert climate change into English,Translation
Write a Python function to data science,Coding
Translate natural language processing into Urdu,Translation
Write short notes on blockchain technology,Academic
Translate startup ideas into French,Translation
Write a poem about natural language processing,Creative
Explain how cloud computing works in programming,Coding
Write a poem about blockchain technology,Creative
Explain marketing strategy for cyber security,Business
Translate Python loops into Urdu,Translation
Write a creative paragraph about cyber security,Creative
Give me advice on digital marketing,Personal
Summarize the article about machine learning,Summarization
Explain SWOT analysis for startup ideas,Business
Create a dialogue about time management,Creative
How to grow a business related to financial planning,Business
What is the importance of cloud computing,Academic
Give me advice on financial planning,Personal
Translate mental health into German,Translation
Create an algorithm for software testing,Coding
Give me advice on artificial intelligence,Personal
Create a dialogue about financial planning,Creative
Summarize this text related to mental health,Summarization
Write short notes on financial planning,Academic
Provide a brief overview of blockchain technology,Summarization
Tips to manage database indexing,Personal
Explain interview preparation with examples,Academic
Summarize this text related to natural language processing,Summarization
Translate blockchain technology into Spanish,Translation
Explain blockchain technology in 5 bullet points,Summarization
Summarize this text related to software testing,Summarization
Explain SWOT analysis for mental health,Business
Translate mental health into Spanish,Translation
Write a pitch deck idea for web development,Business
Write a creative paragraph about financial planning,Creative
Explain SWOT analysis for digital marketing,Business
Create a business plan for climate change,Business
Explain marketing strategy for interview preparation,Business
Explain time management in simple words,Academic
Provide a brief overview of data science,Summarization
Help me deal with financial planning,Personal
Write a Python function to artificial intelligence,Coding
Provide a brief overview of natural language processing,Summarization
Create a business plan for interview preparation,Business
Write a creative paragraph about Python loops,Creative
Translate financial planning into Spanish,Translation
Generate Java code for data science,Coding
Explain marketing strategy for machine learning,Business
Write short notes on mental health,Academic
Explain machine learning in 5 bullet points,Summarization
How to grow a business related to deep learning,Business
Create a business plan for career growth,Business
Define time management for beginners,Academic
Write a creative paragraph about artificial intelligence,Creative
Create an algorithm for natural language processing,Coding
Write a Python function to interview preparation,Coding
Summarize this text related to career growth,Summarization
Give a short summary of cyber security,Summarization
Write a poem about blockchain technology,Creative
What is the importance of Python loops,Academic
Translate cyber security into Spanish,Translation
Summarize the article about digital marketing,Summarization
Explain database indexing in simple words,Academic
Translate time management into French,Translation
Give me advice on interview preparation,Personal
Help me deal with database indexing,Personal
Explain SWOT analysis for deep learning,Business
Create an algorithm for cloud computing,Coding
Guide me about career growth,Personal
Translate natural language processing into German,Translation
Summarize this text related to web development,Summarization
Define artificial intelligence for beginners,Academic
Summarize this text related to artificial intelligence,Summarization
Guide me about digital marketing,Personal
Create an algorithm for digital marketing,Coding
Write a creative paragraph about database indexing,Creative
Explain SWOT analysis for digital marketing,Business
Translate mental health into Urdu,Translation
Translate artificial intelligence into French,Translation
Explain startup ideas in simple words,Academic
Guide me about database indexing,Personal
Write a motivational quote on blockchain technology,Creative
Tips to manage Python loops,Personal
Give a short summary of time management,Summarization
Create a business plan for interview preparation,Business
Write short notes on deep learning,Academic
Write a poem about machine learning,Creative
Give me advice on cloud computing,Personal
Summarize the article about financial planning,Summarization
Create an algorithm for financial planning,Coding
Explain how software testing works in programming,Coding
Guide me about blockchain technology,Personal
Translate digital marketing into Urdu,Translation
Translate blockchain technology into Spanish,Translation
Translate Python loops into Spanish,Translation
Help me deal with time management,Personal
Write short notes on deep learning,Academic
Write a Python function to web development,Coding
Fix this bug related to digital marketing,Coding
Translate deep learning into German,Translation
Summarize the article about time management,Summarization
Explain SWOT analysis for career growth,Business
Explain artificial intelligence in simple words,Academic
Translate cyber security into Urdu,Translation
What is the importance of machine learning,Academic
Write a pitch deck idea for digital marketing,Business
Give me advice on mental health,Personal
Explain marketing strategy for digital marketing,Business
Write short notes on machine learning,Academic
Summarize the article about startup ideas,Summarization
Explain SWOT analysis for blockchain technology,Business
Explain SWOT analysis for natural language processing,Business
Translate startup ideas into Spanish,Translation
What is the importance of database indexing,Academic
Write a pitch deck idea for digital marketing,Business
Give a short summary of web development,Summarization
Explain database indexing with examples,Academic
Explain SWOT analysis for time management,Business
Summarize the article about natural language processing,Summarization
Create a business plan for software testing,Business
Translate software testing into Spanish,Translation
Explain data science with examples,Academic
Help me deal with Python loops,Personal
Translate Python loops into Spanish,Translation
Help me deal with database indexing,Personal
How to grow a business related to software testing,Business
Translate time management into German,Translation
Explain deep learning in 5 bullet points,Summarization
Help me deal with deep learning,Personal
Generate Java code for software testing,Coding
Give a short summary of interview preparation,Summarization
Give a short summary of data science,Summarization
Write a Python function to startup ideas,Coding
Write a short story on cyber security,Creative
Write a motivational quote on mental health,Creative
Generate Java code for Python loops,Coding
Translate data science into Spanish,Translation
Write a motivational quote on data science,Creative
Explain how cyber security works in programming,Coding
How to grow a business related to web development,Business
Provide a brief overview of financial planning,Summarization
Write a creative paragraph about climate change,Creative
Generate Java code for deep learning,Coding
Create a business plan for deep learning,Business
How can I improve my machine learning,Personal
Write a poem about cyber security,Creative
Translate digital marketing into German,Translation
Help me deal with software testing,Personal
Write a pitch deck idea for natural language processing,Business
Explain Python loops in simple words,Academic
Write a poem about cyber security,Creative
Explain cyber security in simple words,Academic
Give a short summary of software testing,Summarization
Explain climate change with examples,Academic
Summarize the article about web development,Summarization
Translate time management into Spanish,Translation
Give a short summary of deep learning,Summarization
Write a creative paragraph about interview preparation,Creative
